               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063879,            0.063534,             0.01676,             0.21463,             0.55802,             0.11505,            0.045541,            0.012853,            0.086035,            0.076914,            0.019039,             0.20707,           0.0033267,           0.0033267,             0.07006
                   1,            0.086425,            0.052684,            0.014599,             0.20017,             0.38698,             0.15048,            0.059626,            0.018529,            0.078867,            0.081733,            0.017678,             0.19571,           0.0066587,           0.0066587,            0.040059
                   2,            0.091645,            0.054299,            0.013965,             0.19386,             0.40732,             0.12448,            0.058629,              0.0143,            0.091104,            0.073984,            0.017195,             0.18776,           0.0099854,           0.0099854,            0.010052
                   3,            0.086433,            0.052812,            0.012253,             0.18727,             0.57579,              0.1665,            0.075453,            0.021518,            0.080586,            0.072602,            0.016518,              0.1819,           0.0099822,           0.0099822,           0.0099822
                   4,            0.074299,            0.053227,            0.011701,             0.17881,             0.62502,             0.16593,             0.12791,            0.037794,            0.067114,            0.078084,            0.016198,             0.16896,           0.0099822,           0.0099822,           0.0099822
                   5,            0.071882,            0.056409,            0.011521,             0.16664,             0.46039,             0.19008,             0.10567,            0.033724,            0.071321,            0.080814,            0.015937,             0.15883,           0.0099685,           0.0099685,           0.0099685
                   6,            0.073366,            0.052676,              0.0109,             0.15666,             0.65797,             0.16908,             0.13854,            0.048977,            0.075596,              0.0732,            0.015563,             0.14936,           0.0099508,           0.0099508,           0.0099508
                   7,            0.073851,            0.049193,           0.0099848,             0.14679,             0.49688,             0.18293,               0.129,            0.037098,            0.074532,            0.078551,            0.015126,             0.14367,           0.0099291,           0.0099291,           0.0099291
                   8,             0.07451,            0.049948,           0.0092583,             0.13937,              0.4362,             0.27973,             0.12376,            0.039806,            0.079784,            0.073771,            0.015002,             0.13628,           0.0099037,           0.0099037,           0.0099037
                   9,            0.077076,            0.050063,           0.0095923,             0.13359,             0.49395,             0.20118,             0.11465,            0.039365,            0.077441,            0.077383,             0.01535,             0.13328,           0.0098743,           0.0098743,           0.0098743
                  10,            0.075634,            0.048579,           0.0086796,             0.12981,             0.51014,             0.23865,             0.16904,            0.052193,            0.070276,            0.080321,            0.015092,             0.12722,           0.0098412,           0.0098412,           0.0098412
                  11,            0.073468,            0.050519,           0.0085367,             0.12502,             0.68309,             0.19891,             0.19738,            0.073655,            0.072479,            0.075089,             0.01498,             0.12453,           0.0098042,           0.0098042,           0.0098042
                  12,            0.071942,            0.048137,           0.0084204,             0.12108,             0.43879,             0.25246,             0.10912,            0.039477,            0.088109,            0.069941,            0.014844,             0.11987,           0.0097635,           0.0097635,           0.0097635
                  13,            0.072185,            0.051299,           0.0084349,             0.11889,             0.51332,             0.30273,             0.20379,            0.086275,            0.071646,            0.076869,            0.015191,             0.11932,           0.0097191,           0.0097191,           0.0097191
                  14,            0.069943,            0.050869,           0.0076503,             0.11587,             0.53115,             0.28726,             0.21033,            0.081434,             0.07214,            0.075891,            0.014752,             0.11821,            0.009671,            0.009671,            0.009671
                  15,            0.070669,             0.05045,           0.0079386,              0.1139,             0.56339,             0.27615,             0.19453,            0.067557,            0.065601,            0.077326,            0.014873,              0.1177,           0.0096193,           0.0096193,           0.0096193
                  16,            0.067624,            0.049477,           0.0080667,             0.11087,             0.53406,             0.28897,             0.20888,            0.078513,            0.069262,            0.077873,             0.01472,             0.11302,            0.009564,            0.009564,            0.009564
                  17,            0.068104,            0.050022,           0.0079579,             0.10921,             0.52416,             0.29593,             0.17618,            0.054814,            0.065764,            0.076798,            0.014935,             0.11142,           0.0095052,           0.0095052,           0.0095052
                  18,            0.067098,            0.049714,           0.0072158,             0.10709,             0.51963,             0.28781,             0.20604,            0.082581,            0.066271,            0.082432,            0.014455,             0.11003,            0.009443,            0.009443,            0.009443
