               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084351,            0.067804,            0.038509,          0.00069109,           0.0041771,          0.00035576,           8.514e-05,            0.076471,            0.051535,             0.02835,           0.0033238,           0.0033238,            0.070086
                   1,            0.078843,            0.068906,            0.025209,             0.50554,            0.022765,           0.0024874,          0.00042159,            0.076483,             0.05001,            0.020696,           0.0065912,           0.0065912,             0.04002
                   2,             0.07992,            0.060503,            0.020917,           0.0074371,            0.029031,            0.003661,          0.00061482,            0.072916,            0.047354,             0.01679,           0.0097927,           0.0097927,           0.0098879
                   3,            0.076497,            0.059163,            0.020165,           0.0016008,            0.002924,          0.00043259,          8.4698e-05,            0.085492,            0.087066,            0.016523,            0.009703,            0.009703,            0.009703
                   4,            0.070835,            0.055474,            0.019563,             0.79611,            0.076302,            0.035726,           0.0085498,            0.058397,            0.045361,             0.01564,            0.009703,            0.009703,            0.009703
                   5,            0.067007,             0.05473,            0.018528,             0.79424,            0.063631,            0.032026,           0.0070481,            0.055159,            0.044305,            0.015227,            0.009604,            0.009604,            0.009604
                   6,            0.062396,             0.05231,            0.018176,             0.81873,             0.08577,            0.055933,            0.014403,            0.054291,            0.041665,            0.014357,            0.009505,            0.009505,            0.009505
                   7,            0.059522,            0.057496,            0.019152,             0.80936,            0.092036,            0.046661,            0.010121,            0.053676,            0.045392,            0.015282,            0.009406,            0.009406,            0.009406
                   8,            0.055082,            0.053907,            0.018616,             0.86079,             0.12517,             0.10462,            0.032184,            0.051097,            0.037994,            0.014878,            0.009307,            0.009307,            0.009307
                   9,            0.053051,             0.05249,            0.018345,              0.8707,              0.1368,             0.13045,            0.041965,            0.046492,            0.037652,            0.013956,            0.009208,            0.009208,            0.009208
                  10,            0.051038,            0.048571,            0.016858,             0.11923,             0.27519,             0.10164,            0.025021,            0.051519,            0.036507,            0.013746,            0.009109,            0.009109,            0.009109
                  11,            0.050298,            0.048137,            0.016867,             0.11205,             0.29519,             0.14145,            0.045501,            0.045631,            0.036072,            0.013076,             0.00901,             0.00901,             0.00901
                  12,            0.048965,            0.048253,            0.016018,             0.87907,             0.16332,             0.14561,            0.059064,            0.041493,            0.037292,            0.013248,            0.008911,            0.008911,            0.008911
                  13,             0.04618,            0.047852,             0.01565,             0.15887,             0.32026,             0.17837,            0.065826,            0.044321,            0.034028,            0.013001,            0.008812,            0.008812,            0.008812
                  14,             0.04371,            0.045323,            0.015436,             0.19846,             0.25128,              0.1731,            0.062665,            0.042418,            0.034811,            0.012729,            0.008713,            0.008713,            0.008713
