               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022382,             0.03126,           0.0063385,             0.47912,             0.65394,             0.54294,              0.3502,            0.024728,            0.022441,           0.0071789,           0.0033238,           0.0033238,            0.070086
                   1,            0.032364,            0.030285,           0.0063816,             0.42815,             0.60338,             0.51322,              0.2805,             0.03672,            0.021993,           0.0075602,           0.0065912,           0.0065912,             0.04002
                   2,            0.037409,            0.036288,           0.0081948,             0.36294,             0.47527,              0.3791,             0.15849,            0.037327,            0.028411,           0.0094389,           0.0097927,           0.0097927,           0.0098879
                   3,             0.03752,            0.035769,           0.0096415,             0.38487,             0.51518,             0.38742,             0.19685,            0.034009,            0.023926,           0.0097542,            0.009703,            0.009703,            0.009703
                   4,            0.032157,            0.032556,           0.0093558,             0.44575,             0.58662,             0.49233,              0.2835,            0.029076,            0.024091,           0.0076008,            0.009703,            0.009703,            0.009703
                   5,            0.031417,            0.033045,            0.008013,             0.46271,              0.6324,             0.50741,             0.30713,            0.029173,            0.023382,           0.0074337,            0.009604,            0.009604,            0.009604
                   6,            0.032909,            0.032235,           0.0082446,             0.43765,             0.63817,             0.50322,             0.29261,              0.0291,            0.023695,           0.0077925,            0.009505,            0.009505,            0.009505
                   7,            0.028815,            0.033569,           0.0086796,             0.50064,             0.60941,             0.52454,             0.30469,            0.027549,            0.023172,           0.0077177,            0.009406,            0.009406,            0.009406
                   8,            0.031434,            0.032998,           0.0086483,             0.39904,             0.68083,             0.53798,             0.29413,            0.029241,            0.022906,           0.0076756,            0.009307,            0.009307,            0.009307
                   9,            0.031629,              0.0329,           0.0082391,             0.44564,             0.66621,             0.51684,             0.28189,            0.031261,            0.023397,           0.0076533,            0.009208,            0.009208,            0.009208
                  10,            0.028504,            0.031265,           0.0078637,              0.4501,             0.67077,             0.53535,             0.33186,            0.026157,            0.022802,           0.0075114,            0.009109,            0.009109,            0.009109
                  11,            0.028021,            0.031446,           0.0076807,             0.46138,             0.67434,             0.54293,             0.32148,            0.025069,            0.022928,           0.0073648,             0.00901,             0.00901,             0.00901
                  12,            0.029462,              0.0321,           0.0077649,             0.44667,             0.64418,             0.50601,             0.25978,            0.033668,            0.022576,           0.0084107,            0.008911,            0.008911,            0.008911
                  13,            0.027172,            0.031984,           0.0077496,             0.44371,             0.65171,              0.5175,             0.30427,            0.025867,            0.023131,           0.0082642,            0.008812,            0.008812,            0.008812
                  14,            0.028587,            0.031303,           0.0080239,             0.48539,              0.6369,             0.53609,             0.31561,            0.027543,            0.022904,           0.0078886,            0.008713,            0.008713,            0.008713
                  15,            0.027662,            0.031499,           0.0082031,             0.49331,             0.67027,             0.55268,             0.34846,            0.025159,            0.022741,           0.0072767,            0.008614,            0.008614,            0.008614
                  16,            0.026677,            0.031867,           0.0076714,             0.47818,              0.6387,             0.54915,             0.35222,            0.025504,            0.022682,           0.0073282,            0.008515,            0.008515,            0.008515
                  17,            0.027812,            0.031352,           0.0076587,             0.49114,             0.64151,             0.53163,             0.32922,            0.026113,            0.023501,           0.0073917,            0.008416,            0.008416,            0.008416
                  18,            0.027806,            0.031659,           0.0075804,             0.45427,             0.65534,             0.52233,              0.3504,            0.024294,            0.022797,           0.0082853,            0.008317,            0.008317,            0.008317
                  19,            0.026884,            0.031852,           0.0075239,             0.48135,             0.67038,             0.53333,             0.35315,            0.023268,            0.022712,           0.0074686,            0.008218,            0.008218,            0.008218
                  20,            0.026189,            0.031847,           0.0073363,             0.50301,             0.65382,             0.56059,             0.36755,            0.023209,            0.022957,           0.0071794,            0.008119,            0.008119,            0.008119
                  21,            0.026769,            0.031839,           0.0073917,             0.49872,             0.64761,             0.53424,             0.32033,            0.028197,            0.022574,           0.0076623,             0.00802,             0.00802,             0.00802
                  22,            0.024979,            0.030625,           0.0071602,             0.46951,             0.71654,             0.54016,             0.34806,            0.024251,            0.022617,           0.0073374,            0.007921,            0.007921,            0.007921
                  23,            0.026285,            0.031258,           0.0073478,              0.4979,             0.71036,             0.55545,             0.36317,            0.023994,            0.022411,           0.0070161,            0.007822,            0.007822,            0.007822
                  24,            0.025587,            0.029857,             0.00718,             0.48053,             0.65366,             0.53296,             0.33762,            0.025073,             0.02266,           0.0075159,            0.007723,            0.007723,            0.007723
                  25,            0.025204,             0.03014,           0.0062707,             0.50565,             0.65261,             0.55621,             0.37409,            0.023778,             0.02254,            0.007052,            0.007624,            0.007624,            0.007624
                  26,            0.024939,            0.030888,           0.0071759,             0.50285,             0.68172,              0.5634,             0.37769,             0.02277,            0.022228,           0.0066844,            0.007525,            0.007525,            0.007525
                  27,            0.025503,            0.031127,           0.0068046,              0.5057,             0.71996,             0.56936,             0.38973,            0.022094,            0.021985,           0.0066866,            0.007426,            0.007426,            0.007426
                  28,            0.024913,            0.031055,           0.0068347,             0.45256,             0.68504,             0.52049,             0.35109,            0.022219,            0.022487,           0.0081763,            0.007327,            0.007327,            0.007327
                  29,            0.024558,            0.029815,           0.0068133,             0.49453,             0.69877,             0.55406,             0.36789,            0.022027,              0.0222,           0.0071215,            0.007228,            0.007228,            0.007228
                  30,             0.02462,            0.030725,           0.0072347,             0.47852,             0.68909,             0.55679,             0.37788,            0.022867,            0.022346,           0.0071162,            0.007129,            0.007129,            0.007129
                  31,            0.023977,            0.030253,           0.0069077,             0.47975,             0.72221,             0.56322,             0.38465,            0.022263,            0.022093,            0.007186,             0.00703,             0.00703,             0.00703
                  32,            0.023561,            0.030513,           0.0066232,             0.49948,             0.65252,             0.55795,             0.37464,            0.022417,            0.021975,            0.006777,            0.006931,            0.006931,            0.006931
                  33,            0.025109,            0.031175,           0.0065693,             0.50889,             0.67541,             0.56511,             0.37897,            0.023481,            0.022102,           0.0067342,            0.006832,            0.006832,            0.006832
                  34,            0.024781,            0.030206,            0.006574,             0.47638,             0.73356,             0.56312,             0.36679,            0.023743,            0.021859,           0.0068969,            0.006733,            0.006733,            0.006733
                  35,            0.023203,            0.029703,           0.0061178,             0.52333,             0.69487,             0.59176,             0.40848,             0.02142,            0.021915,           0.0065159,            0.006634,            0.006634,            0.006634
                  36,            0.024586,            0.030374,           0.0060477,             0.50473,             0.74497,             0.59297,             0.40721,            0.021624,             0.02195,           0.0066367,            0.006535,            0.006535,            0.006535
                  37,            0.023486,            0.029844,           0.0069806,             0.51988,             0.66554,             0.57029,             0.38904,            0.022762,             0.02185,            0.006677,            0.006436,            0.006436,            0.006436
                  38,             0.02334,            0.031317,           0.0063829,             0.50242,             0.63256,             0.53515,             0.35594,            0.023506,            0.022007,           0.0099705,            0.006337,            0.006337,            0.006337
                  39,            0.023431,            0.029704,            0.006615,             0.52916,             0.67589,             0.59004,             0.41477,            0.021345,            0.021874,           0.0067903,            0.006238,            0.006238,            0.006238
                  40,            0.022563,            0.029764,            0.006269,             0.51021,             0.65641,             0.55467,             0.38885,            0.021647,            0.021761,           0.0070079,            0.006139,            0.006139,            0.006139
                  41,            0.022409,            0.030278,           0.0059389,             0.51402,             0.65183,              0.5697,             0.38776,            0.021583,            0.022109,           0.0070736,             0.00604,             0.00604,             0.00604
                  42,            0.023385,             0.02907,           0.0062963,             0.52702,             0.66099,             0.59144,             0.41539,            0.021806,            0.021864,           0.0067932,            0.005941,            0.005941,            0.005941
                  43,            0.022515,            0.029483,           0.0060855,             0.51044,             0.69184,             0.58189,             0.39821,            0.022102,             0.02234,           0.0067569,            0.005842,            0.005842,            0.005842
                  44,            0.023237,            0.027837,           0.0067752,             0.52792,             0.70756,             0.60206,             0.42132,            0.021379,            0.021772,           0.0066653,            0.005743,            0.005743,            0.005743
                  45,             0.02287,             0.02907,           0.0062512,             0.49684,             0.70128,             0.58757,              0.4124,            0.021427,            0.021799,           0.0066567,            0.005644,            0.005644,            0.005644
                  46,            0.022765,            0.029259,           0.0056423,             0.50572,             0.75833,             0.60804,             0.42384,             0.02093,            0.021526,            0.006637,            0.005545,            0.005545,            0.005545
                  47,            0.022065,            0.027791,           0.0060071,             0.48945,              0.7144,             0.59143,             0.41086,            0.022241,            0.021562,           0.0068993,            0.005446,            0.005446,            0.005446
                  48,            0.022419,             0.02902,           0.0056926,              0.5577,             0.66895,             0.60659,               0.426,            0.021129,            0.021648,           0.0066411,            0.005347,            0.005347,            0.005347
                  49,            0.022823,            0.028986,           0.0057931,              0.5558,             0.67244,             0.62878,             0.44663,            0.020911,            0.021755,           0.0064791,            0.005248,            0.005248,            0.005248
                  50,            0.021559,            0.029584,           0.0055685,             0.51675,             0.69641,             0.60081,             0.42793,            0.021043,            0.021465,           0.0068212,            0.005149,            0.005149,            0.005149
                  51,             0.02186,            0.027856,            0.005599,             0.58659,             0.66832,             0.63464,              0.4481,            0.021206,            0.021458,           0.0065231,             0.00505,             0.00505,             0.00505
                  52,            0.021449,            0.027708,           0.0054641,             0.55631,             0.69407,             0.63038,             0.45482,            0.020723,             0.02131,            0.006652,            0.004951,            0.004951,            0.004951
                  53,            0.021914,            0.028599,           0.0055478,             0.52063,             0.69884,              0.5916,             0.42487,            0.021269,            0.021836,           0.0071839,            0.004852,            0.004852,            0.004852
                  54,             0.02137,            0.029718,           0.0057343,             0.54996,              0.6413,             0.59993,             0.42508,            0.021391,            0.021725,            0.007242,            0.004753,            0.004753,            0.004753
                  55,            0.021698,            0.028502,           0.0057423,             0.54058,             0.71965,             0.61803,             0.43984,            0.020558,            0.021004,           0.0066249,            0.004654,            0.004654,            0.004654
                  56,            0.021715,            0.028893,           0.0055039,             0.52394,             0.69489,             0.60944,             0.43844,             0.02108,            0.021467,           0.0070169,            0.004555,            0.004555,            0.004555
                  57,            0.021695,            0.028994,           0.0054348,             0.55532,             0.71572,             0.63103,             0.44101,             0.02094,            0.021391,           0.0064716,            0.004456,            0.004456,            0.004456
                  58,            0.021809,            0.026727,           0.0053596,             0.55603,             0.68769,              0.6228,             0.43909,            0.020992,             0.02174,           0.0066485,            0.004357,            0.004357,            0.004357
                  59,            0.021319,             0.02884,           0.0052016,             0.57122,             0.68576,             0.62746,             0.43929,            0.021183,            0.021571,           0.0064444,            0.004258,            0.004258,            0.004258
                  60,            0.021388,             0.02778,           0.0052001,             0.56343,             0.66939,             0.61837,             0.43928,            0.020743,            0.021081,           0.0069048,            0.004159,            0.004159,            0.004159
                  61,            0.021204,            0.027048,           0.0053665,             0.54375,             0.71245,             0.62348,             0.44879,            0.020805,            0.021326,           0.0067716,             0.00406,             0.00406,             0.00406
                  62,            0.021464,            0.028244,           0.0049457,              0.5157,             0.73207,             0.61638,             0.44112,            0.020826,            0.021289,           0.0065924,            0.003961,            0.003961,            0.003961
                  63,            0.021012,            0.027662,           0.0053036,             0.56062,             0.73191,             0.64237,             0.45806,            0.020548,            0.021109,           0.0064013,            0.003862,            0.003862,            0.003862
                  64,            0.021091,             0.02892,            0.005441,             0.56874,             0.70434,             0.65208,             0.46501,            0.021137,            0.021361,           0.0063887,            0.003763,            0.003763,            0.003763
                  65,            0.020859,            0.028704,           0.0047903,             0.55093,             0.74097,             0.64249,             0.46107,            0.021152,            0.021567,           0.0067214,            0.003664,            0.003664,            0.003664
                  66,            0.020937,            0.027682,           0.0050964,             0.58989,             0.69241,             0.64729,             0.46014,            0.020596,            0.021514,           0.0062702,            0.003565,            0.003565,            0.003565
                  67,            0.021123,            0.028896,           0.0049549,             0.58432,             0.69928,              0.6581,             0.47488,            0.020413,            0.021249,            0.006409,            0.003466,            0.003466,            0.003466
