               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15023,             0.11291,            0.073291,             0.21292,            0.074997,          2.2243e-05,           0.0020405,          0.00048912,             0.14064,             0.16974,            0.071193,             0.21128,             0.00117,             0.00117,             0.08947
                   1,             0.13979,             0.13654,            0.067068,             0.20719,           0.0048564,             0.02508,           0.0027969,          0.00067987,             0.12785,             0.20698,            0.063036,             0.20896,           0.0023495,           0.0023495,             0.07885
                   2,             0.12943,             0.16077,            0.058889,             0.20438,            0.022315,            0.088024,            0.018467,            0.004674,             0.11713,             0.22688,            0.056021,              0.2042,           0.0035272,           0.0035272,            0.068227
                   3,             0.12422,             0.17906,             0.05378,             0.20079,             0.68088,            0.073044,            0.040061,            0.010511,             0.11159,             0.24078,            0.051313,             0.20026,           0.0047016,           0.0047016,            0.057602
                   4,              0.1191,             0.18844,            0.050004,             0.19868,             0.68824,            0.074973,            0.057451,            0.016541,             0.10665,             0.27436,            0.047304,             0.19884,           0.0058714,           0.0058714,            0.046971
                   5,             0.11842,             0.21041,             0.04739,             0.19662,             0.69448,            0.090459,            0.066987,            0.019549,             0.10678,             0.26947,            0.045846,             0.19649,           0.0070352,           0.0070352,            0.036335
                   6,              0.1166,             0.22134,            0.045105,             0.19545,             0.67535,            0.097415,            0.038229,           0.0093531,              0.1041,             0.33609,            0.042188,              0.1947,           0.0081915,           0.0081915,            0.025692
                   7,             0.11658,             0.25737,            0.043651,             0.19427,             0.75227,            0.072105,            0.058455,            0.016913,             0.10997,               0.328,            0.047468,             0.19444,           0.0093392,           0.0093392,            0.015039
                   8,             0.11656,             0.24901,            0.044038,             0.19396,             0.69512,            0.082815,            0.055742,            0.016734,             0.10559,             0.29393,            0.043403,              0.1941,           0.0098743,           0.0098743,           0.0098743
                   9,             0.11462,             0.22162,             0.04308,             0.19325,             0.65739,             0.10006,             0.03617,           0.0085923,             0.10614,             0.27847,            0.040944,             0.19284,           0.0098743,           0.0098743,           0.0098743
                  10,             0.11306,             0.21558,            0.039962,             0.19246,              0.6643,             0.10381,            0.051155,            0.013099,             0.10525,             0.29702,            0.038707,             0.19202,           0.0098412,           0.0098412,           0.0098412
                  11,             0.11277,             0.21212,            0.037777,             0.19155,             0.77861,             0.11981,            0.087371,            0.027686,             0.10391,             0.32455,             0.03831,             0.19124,           0.0098042,           0.0098042,           0.0098042
                  12,              0.1122,             0.22199,             0.03664,             0.19131,             0.70641,             0.12166,            0.078974,             0.02135,             0.09882,             0.30713,            0.035484,             0.19036,           0.0097635,           0.0097635,           0.0097635
                  13,             0.10883,              0.2119,            0.033767,             0.19035,             0.79028,             0.12027,            0.091031,            0.027313,             0.10148,             0.26949,             0.03736,             0.18976,           0.0097191,           0.0097191,           0.0097191
                  14,             0.10844,             0.20971,            0.034086,             0.18965,             0.71985,             0.13345,            0.099885,            0.029238,            0.099511,             0.28319,               0.033,             0.18912,            0.009671,            0.009671,            0.009671
                  15,             0.10841,             0.23141,            0.031839,             0.18916,             0.72309,             0.09727,            0.064567,            0.017677,             0.10206,             0.28288,            0.039875,             0.18915,           0.0096193,           0.0096193,           0.0096193
                  16,              0.1072,              0.2175,            0.031822,             0.18895,             0.74994,             0.13528,             0.10593,            0.029669,            0.099089,             0.27053,            0.030049,             0.18832,            0.009564,            0.009564,            0.009564
                  17,             0.10654,             0.20965,            0.030724,             0.18877,             0.68927,             0.14335,             0.11108,            0.029643,            0.097575,             0.27873,            0.028353,             0.18788,           0.0095052,           0.0095052,           0.0095052
                  18,             0.10636,             0.20546,            0.028554,             0.18788,             0.76713,              0.1684,             0.15563,            0.051273,            0.096341,             0.27351,            0.027135,             0.18724,            0.009443,            0.009443,            0.009443
                  19,             0.10456,             0.21904,            0.026917,             0.18693,             0.72033,              0.1486,            0.096142,            0.026001,              0.1005,             0.26599,             0.02571,             0.18676,           0.0093773,           0.0093773,           0.0093773
                  20,             0.10568,             0.20874,            0.027067,             0.18694,             0.73919,             0.16638,             0.13877,            0.042455,             0.09669,             0.27588,            0.024865,             0.18668,           0.0093083,           0.0093083,           0.0093083
                  21,             0.10612,             0.20626,            0.026089,             0.18683,             0.69695,              0.1798,             0.15197,            0.049819,            0.096197,             0.27149,             0.02505,             0.18538,           0.0092361,           0.0092361,           0.0092361
                  22,             0.10365,               0.209,            0.026922,             0.18544,             0.68998,             0.18594,             0.16787,            0.056622,            0.097413,             0.26783,             0.02375,             0.18453,           0.0091606,           0.0091606,           0.0091606
                  23,             0.10468,             0.22921,             0.02482,             0.18454,             0.69947,             0.20067,             0.16846,            0.059557,            0.096434,             0.27185,            0.022223,             0.18393,           0.0090821,           0.0090821,           0.0090821
                  24,             0.10259,             0.21399,            0.022128,             0.18319,             0.77747,             0.19748,             0.17682,            0.061097,            0.094465,             0.27195,            0.020566,             0.18262,           0.0090004,           0.0090004,           0.0090004
                  25,             0.10483,             0.21012,            0.022722,             0.18297,             0.73544,             0.19847,             0.17992,            0.066918,            0.094529,             0.27447,            0.022283,             0.18147,           0.0089159,           0.0089159,           0.0089159
                  26,             0.10414,             0.20878,            0.023696,             0.18199,             0.64142,             0.18505,             0.17625,            0.060753,            0.095961,             0.26769,            0.021044,             0.18023,           0.0088284,           0.0088284,           0.0088284
                  27,             0.10253,             0.20726,             0.02249,             0.18112,             0.65888,             0.20989,             0.18674,            0.067097,            0.094521,             0.26826,            0.020063,             0.17916,           0.0087382,           0.0087382,           0.0087382
                  28,             0.10555,             0.21348,            0.021908,             0.17977,             0.64567,             0.20632,             0.16955,            0.052272,            0.097208,             0.26424,            0.019638,             0.17792,           0.0086452,           0.0086452,           0.0086452
                  29,             0.10388,             0.20087,            0.021198,              0.1786,             0.71167,             0.19526,             0.18194,            0.057604,            0.096426,             0.26832,            0.020785,              0.1761,           0.0085497,           0.0085497,           0.0085497
                  30,             0.10623,             0.20936,            0.021411,              0.1775,             0.66299,             0.20196,              0.1887,            0.064145,            0.096039,             0.27365,            0.019836,             0.17603,           0.0084516,           0.0084516,           0.0084516
                  31,             0.10612,             0.22174,            0.019972,             0.17644,              0.6771,             0.21532,             0.20912,            0.073398,            0.096809,             0.26835,            0.018333,               0.174,           0.0083511,           0.0083511,           0.0083511
                  32,              0.1039,             0.21478,            0.019665,             0.17559,             0.68682,             0.21786,              0.2188,            0.082419,            0.094898,             0.26599,            0.018072,              0.1728,           0.0082483,           0.0082483,           0.0082483
                  33,             0.10465,             0.21831,            0.019572,             0.17444,             0.62773,             0.20914,             0.21807,            0.076986,            0.094882,             0.26926,            0.020477,             0.17233,           0.0081433,           0.0081433,           0.0081433
                  34,             0.10178,             0.20543,            0.020831,              0.1744,             0.77138,             0.20369,             0.20454,            0.067121,            0.096638,             0.26604,            0.017177,             0.17079,           0.0080362,           0.0080362,           0.0080362
                  35,             0.10367,             0.20211,            0.019203,             0.17365,             0.69753,             0.21093,             0.21337,            0.076502,            0.096937,             0.26649,             0.01778,             0.16996,            0.007927,            0.007927,            0.007927
                  36,             0.10372,             0.20134,            0.019064,              0.1728,             0.66176,             0.23527,             0.22143,            0.078266,            0.095443,             0.26915,            0.019171,             0.16889,            0.007816,            0.007816,            0.007816
                  37,             0.10389,             0.20604,            0.018866,              0.1715,             0.69154,             0.20939,             0.21008,            0.070592,            0.095299,             0.27461,            0.016281,             0.16773,           0.0077031,           0.0077031,           0.0077031
                  38,             0.10191,              0.2049,            0.017212,             0.17021,             0.42731,             0.28248,              0.2406,            0.092086,            0.094587,             0.26463,            0.016774,             0.16753,           0.0075886,           0.0075886,           0.0075886
                  39,             0.10219,             0.19531,            0.018184,             0.16939,             0.41493,             0.27222,             0.22612,            0.080591,            0.094413,             0.26966,            0.016459,             0.16602,           0.0074725,           0.0074725,           0.0074725
                  40,             0.10176,             0.21395,            0.017788,             0.16889,             0.68142,              0.2238,             0.22359,            0.077698,            0.094955,             0.27115,            0.016902,             0.16497,            0.007355,            0.007355,            0.007355
                  41,             0.10138,             0.20569,            0.017589,             0.16824,             0.66606,             0.23352,              0.2419,            0.090687,            0.094219,             0.26979,            0.017057,               0.164,           0.0072361,           0.0072361,           0.0072361
                  42,              0.1018,             0.19599,            0.017466,             0.16791,               0.503,             0.28516,             0.24477,            0.080741,            0.093524,             0.26562,            0.016176,             0.16371,            0.007116,            0.007116,            0.007116
                  43,             0.10169,             0.19515,            0.016929,             0.16718,             0.43731,             0.28997,             0.24511,            0.080959,            0.096174,             0.26267,            0.016476,             0.16265,           0.0069948,           0.0069948,           0.0069948
                  44,             0.10078,             0.20685,            0.016289,             0.16551,             0.54926,             0.25462,             0.24958,            0.090189,            0.094702,             0.26476,            0.016435,             0.16119,           0.0068726,           0.0068726,           0.0068726
                  45,            0.099824,             0.19704,            0.016856,             0.16508,             0.64983,             0.22597,             0.22282,            0.069486,            0.095764,             0.26427,            0.015603,             0.16051,           0.0067495,           0.0067495,           0.0067495
                  46,             0.10266,             0.19249,            0.016516,               0.165,             0.65694,             0.23059,              0.2389,            0.082947,            0.094649,             0.26698,            0.016546,             0.15878,           0.0066257,           0.0066257,           0.0066257
