               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,             0.10069,             0.19905,             0.01271,              0.1371,             0.38275,             0.33115,             0.29192,             0.10304,            0.094881,             0.27352,            0.013907,             0.12795,            0.009564,            0.009564,            0.009564
                  32,             0.10208,             0.18772,            0.012656,             0.13626,             0.47314,             0.32158,              0.2979,             0.11034,            0.092965,             0.26905,            0.013643,             0.12658,           0.0095351,           0.0095351,           0.0095351
                  33,             0.10018,             0.18525,            0.012678,              0.1372,             0.56078,             0.31457,             0.31668,             0.12594,            0.093597,             0.26858,            0.014451,             0.12572,           0.0095052,           0.0095052,           0.0095052
                  34,            0.098365,             0.18937,            0.012614,             0.13489,             0.53184,             0.33957,             0.32738,             0.11964,            0.095321,             0.26716,            0.014984,             0.12654,           0.0094745,           0.0094745,           0.0094745
                  35,             0.10064,             0.18705,            0.012293,             0.13457,              0.3906,             0.35039,             0.31207,             0.11935,            0.096382,             0.26851,            0.013589,             0.12389,            0.009443,            0.009443,            0.009443
                  36,             0.10113,              0.2002,            0.012098,             0.13505,             0.54201,             0.30294,              0.3066,             0.12405,              0.0952,             0.26302,            0.014141,             0.12484,           0.0094106,           0.0094106,           0.0094106
                  37,             0.10155,             0.20481,            0.012527,             0.13414,             0.45695,             0.35026,             0.30994,             0.11626,            0.093801,             0.27262,             0.01449,             0.12443,           0.0093773,           0.0093773,           0.0093773
                  38,             0.10009,             0.19827,            0.012296,             0.13244,             0.56823,             0.31988,              0.2872,            0.098826,            0.096378,             0.26464,            0.013528,             0.12353,           0.0093432,           0.0093432,           0.0093432
                  39,             0.10115,             0.20596,             0.01187,             0.13207,              0.5814,             0.31955,             0.30653,             0.12035,            0.092406,             0.27464,            0.013796,             0.12195,           0.0093083,           0.0093083,           0.0093083
                  40,             0.10086,             0.18314,            0.011519,             0.13418,             0.40033,             0.30592,              0.3005,             0.11736,            0.096617,             0.26643,            0.014777,             0.12419,           0.0092726,           0.0092726,           0.0092726
                  41,             0.10052,             0.19167,            0.012868,               0.135,             0.60661,             0.33667,              0.3381,             0.14747,            0.091628,             0.27408,            0.014107,             0.12302,           0.0092361,           0.0092361,           0.0092361
                  42,             0.10031,             0.19466,            0.012826,             0.13207,             0.60307,             0.31708,             0.31662,             0.12113,            0.092814,             0.26917,             0.01509,             0.12156,           0.0091987,           0.0091987,           0.0091987
                  43,             0.10162,             0.19415,            0.012073,             0.13485,             0.48278,             0.31579,             0.30288,             0.11161,            0.093321,             0.26775,            0.014044,             0.12182,           0.0091606,           0.0091606,           0.0091606
                  44,            0.099827,             0.20809,            0.011984,             0.13245,             0.61285,              0.3312,             0.32995,             0.14204,            0.092865,             0.26918,            0.013171,             0.12195,           0.0091217,           0.0091217,           0.0091217
                  45,            0.099957,             0.20269,            0.012741,             0.13232,              0.4109,             0.34998,             0.32476,             0.13413,            0.092976,             0.27239,            0.012669,             0.11998,           0.0090821,           0.0090821,           0.0090821
                  46,             0.10141,             0.18512,            0.012101,             0.13169,             0.41113,             0.34022,             0.31796,             0.11755,            0.093674,             0.26663,            0.012714,             0.12037,           0.0090416,           0.0090416,           0.0090416
                  47,             0.10066,             0.19494,            0.011488,             0.13025,              0.3563,             0.32912,             0.31992,              0.1244,            0.091585,             0.27398,            0.013555,             0.11924,           0.0090004,           0.0090004,           0.0090004
