               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023602,             0.02835,           0.0040606,              0.6388,             0.71656,             0.68803,             0.48443,            0.020992,            0.021077,            0.006272,           0.0082675,           0.0082675,           0.0082675
                  37,            0.022118,            0.027803,           0.0046719,             0.58611,             0.69876,             0.65395,             0.45813,            0.022877,            0.021464,           0.0064659,            0.008218,            0.008218,            0.008218
                  38,            0.022775,            0.029183,           0.0042865,             0.59966,              0.6989,             0.65476,             0.44278,            0.022034,            0.021481,           0.0067841,           0.0081685,           0.0081685,           0.0081685
                  39,            0.022568,             0.02758,           0.0044746,             0.61789,             0.69565,             0.66579,             0.47027,            0.021357,            0.021234,           0.0062597,            0.008119,            0.008119,            0.008119
                  40,            0.022259,            0.027897,           0.0042538,             0.61783,             0.66072,             0.65158,             0.46189,             0.02077,            0.021099,           0.0063397,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023548,            0.028342,           0.0043059,             0.57259,             0.75261,             0.65449,             0.46156,            0.020996,            0.021375,            0.006264,             0.00802,             0.00802,             0.00802
                  42,            0.022272,            0.027153,           0.0042582,             0.62355,             0.69106,              0.6639,             0.46508,            0.022203,            0.021355,           0.0062753,           0.0079705,           0.0079705,           0.0079705
                  43,            0.022312,            0.027487,           0.0041388,             0.62191,             0.66422,             0.63386,             0.44143,            0.021694,            0.021583,            0.006815,            0.007921,            0.007921,            0.007921
                  44,            0.022447,            0.026016,           0.0047448,             0.59325,             0.65522,             0.63138,             0.43673,            0.021442,            0.021309,           0.0065604,           0.0078715,           0.0078715,           0.0078715
                  45,            0.022062,            0.027456,           0.0046086,             0.57486,             0.74692,              0.6529,             0.46344,            0.020839,            0.021022,           0.0066169,            0.007822,            0.007822,            0.007822
                  46,            0.022409,            0.027473,           0.0038161,             0.60757,             0.73309,             0.67363,             0.47467,            0.020326,            0.021197,           0.0061145,           0.0077725,           0.0077725,           0.0077725
                  47,            0.022119,            0.026078,           0.0039844,             0.58335,             0.69766,             0.63667,             0.44736,            0.022295,            0.021094,           0.0072409,            0.007723,            0.007723,            0.007723
                  48,            0.021823,            0.027241,           0.0038811,             0.62649,             0.68717,             0.65121,             0.46216,            0.021267,            0.021515,           0.0072157,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022991,            0.027394,           0.0040161,             0.59958,             0.72042,             0.67378,             0.48224,            0.020372,            0.021376,           0.0065552,            0.007624,            0.007624,            0.007624
                  50,            0.021535,            0.027788,           0.0038646,             0.58863,             0.70393,             0.65154,             0.45588,            0.020823,            0.021189,            0.006672,           0.0075745,           0.0075745,           0.0075745
                  51,            0.021642,            0.026183,           0.0036764,              0.5997,             0.74484,             0.66399,             0.47192,            0.020848,            0.021446,           0.0066038,            0.007525,            0.007525,            0.007525
                  52,            0.021065,            0.025937,           0.0038866,              0.6025,             0.72875,             0.67016,             0.48531,            0.020352,            0.021147,           0.0067157,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022265,            0.026927,           0.0038133,             0.59123,             0.69303,             0.65092,             0.46684,            0.020281,            0.021019,           0.0066991,            0.007426,            0.007426,            0.007426
                  54,            0.021169,            0.027922,           0.0040311,             0.62998,             0.68981,             0.66324,             0.47854,             0.02041,            0.021117,           0.0063878,           0.0073765,           0.0073765,           0.0073765
                  55,             0.02143,            0.026754,           0.0040069,             0.63038,             0.68988,             0.66631,             0.47146,            0.021019,            0.020922,           0.0070382,            0.007327,            0.007327,            0.007327
                  56,            0.022272,            0.027202,           0.0039353,             0.57562,             0.71225,             0.64983,             0.46368,            0.021582,            0.021268,           0.0075302,           0.0072775,           0.0072775,           0.0072775
                  57,            0.021662,            0.027349,           0.0038828,              0.6529,             0.68796,             0.66952,              0.4821,            0.020322,            0.020832,           0.0064533,            0.007228,            0.007228,            0.007228
                  58,            0.021293,            0.025209,           0.0038391,             0.64415,             0.72124,             0.67062,             0.48456,            0.020282,            0.021469,           0.0065093,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021471,            0.027304,           0.0037884,             0.60044,             0.74333,             0.66972,             0.48466,            0.020403,            0.021097,           0.0060244,            0.007129,            0.007129,            0.007129
                  60,            0.020984,            0.026304,            0.003775,             0.58787,             0.72554,              0.6611,             0.47405,            0.020606,            0.021002,           0.0064708,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021684,            0.025571,           0.0039209,             0.61431,             0.73739,             0.67912,             0.49085,             0.02056,            0.020707,           0.0062091,             0.00703,             0.00703,             0.00703
                  62,            0.021876,            0.026687,           0.0036529,             0.56007,             0.74347,             0.64623,             0.47373,            0.020498,            0.021128,           0.0067432,           0.0069805,           0.0069805,           0.0069805
                  63,            0.020809,            0.026218,           0.0038916,             0.62224,             0.71645,             0.67453,             0.48043,            0.020199,            0.021058,           0.0061463,            0.006931,            0.006931,            0.006931
                  64,            0.021094,            0.027391,           0.0038202,             0.64928,             0.72164,              0.6875,             0.48918,            0.021705,            0.020884,           0.0063203,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021766,            0.027164,           0.0035648,             0.63278,             0.71018,             0.67786,             0.48627,            0.021459,            0.021004,           0.0064932,            0.006832,            0.006832,            0.006832
                  66,            0.021283,            0.026255,            0.003719,             0.62582,             0.69982,             0.65966,             0.46911,            0.020295,            0.021294,           0.0060164,           0.0067825,           0.0067825,           0.0067825
                  67,            0.021745,            0.027321,           0.0034308,             0.62451,             0.75577,             0.69615,             0.50231,            0.020184,            0.021006,           0.0062902,            0.006733,            0.006733,            0.006733
                  68,            0.020082,            0.026144,           0.0035614,             0.62092,             0.70666,             0.67484,             0.48579,            0.020685,            0.020928,           0.0063261,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020698,            0.026857,           0.0039442,             0.65462,             0.70171,             0.70523,             0.51498,            0.019906,            0.021059,           0.0060836,            0.006634,            0.006634,            0.006634
                  70,            0.020874,            0.026814,             0.00367,             0.63262,             0.73509,             0.69548,              0.5054,            0.020404,            0.020758,           0.0068086,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021046,            0.026624,           0.0038509,             0.63853,             0.70178,              0.6826,             0.49018,            0.021156,             0.02108,           0.0066779,            0.006535,            0.006535,            0.006535
                  72,            0.021185,            0.026178,            0.003767,             0.59962,             0.71164,             0.67587,             0.49222,             0.02027,             0.02148,            0.007157,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020927,            0.028094,           0.0034761,             0.67981,             0.72651,             0.71057,             0.51536,            0.020152,            0.020652,            0.006112,            0.006436,            0.006436,            0.006436
                  74,             0.02102,            0.028004,           0.0034708,             0.65223,             0.73012,             0.70528,             0.50928,            0.020597,            0.020819,           0.0062226,           0.0063865,           0.0063865,           0.0063865
                  75,            0.020986,            0.025936,           0.0035553,             0.65754,             0.71768,             0.69997,             0.50705,            0.020153,            0.020652,           0.0064279,            0.006337,            0.006337,            0.006337
                  76,            0.020837,            0.026074,           0.0033298,             0.70409,             0.66384,             0.70099,             0.51408,            0.019815,            0.020968,           0.0062598,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020856,            0.027388,           0.0036237,             0.61189,              0.7148,             0.66589,             0.48518,             0.02006,            0.021132,            0.007146,            0.006238,            0.006238,            0.006238
                  78,            0.021106,            0.026314,           0.0033066,             0.63873,             0.71194,              0.6936,             0.50319,            0.019954,             0.02111,           0.0061345,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020098,            0.025433,           0.0033772,             0.62858,             0.73391,             0.68614,             0.49803,            0.020598,             0.02102,           0.0067388,            0.006139,            0.006139,            0.006139
                  80,            0.021243,            0.027207,            0.003558,             0.67347,             0.70995,             0.70084,             0.50539,            0.020845,            0.021124,           0.0068367,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020192,            0.027837,           0.0035249,             0.61748,             0.74298,             0.69171,             0.51212,            0.020103,            0.021022,           0.0065178,             0.00604,             0.00604,             0.00604
                  82,            0.021107,            0.027192,           0.0036073,             0.66912,             0.69789,             0.70184,              0.5192,            0.019889,            0.020859,           0.0061724,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020251,             0.02764,           0.0032457,             0.62214,             0.70621,             0.67236,              0.4994,            0.020123,            0.021098,           0.0073959,            0.005941,            0.005941,            0.005941
                  84,            0.020454,            0.026553,           0.0032923,             0.62755,             0.72652,             0.68556,             0.49772,            0.020239,            0.021244,           0.0067004,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020415,            0.026659,           0.0032688,             0.64081,             0.71302,             0.69859,             0.50289,            0.020797,            0.021145,           0.0070648,            0.005842,            0.005842,            0.005842
                  86,            0.020979,            0.026412,           0.0035594,             0.65435,              0.7342,             0.71037,             0.51792,            0.020178,            0.020746,           0.0066774,           0.0057925,           0.0057925,           0.0057925
                  87,              0.0199,            0.026547,           0.0034292,             0.65717,             0.70805,             0.69723,             0.51632,            0.020017,            0.020814,           0.0062666,            0.005743,            0.005743,            0.005743
                  88,            0.019879,            0.026283,           0.0034099,             0.64452,             0.72497,             0.70386,             0.51886,            0.019891,            0.020841,           0.0066144,           0.0056935,           0.0056935,           0.0056935
                  89,            0.020851,            0.026372,           0.0033411,             0.62121,             0.75844,             0.70613,             0.51881,            0.019895,            0.020756,           0.0061962,            0.005644,            0.005644,            0.005644
                  90,            0.020565,            0.026137,           0.0032648,             0.61721,              0.7414,                0.68,             0.49584,            0.020134,            0.020803,            0.007675,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020058,            0.025787,            0.003278,             0.62149,             0.75303,             0.70491,             0.51471,            0.020214,             0.02106,           0.0060769,            0.005545,            0.005545,            0.005545
                  92,            0.019733,            0.026343,           0.0030059,             0.63703,             0.72359,             0.68536,             0.50263,            0.019992,            0.020905,           0.0062224,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020674,            0.027534,           0.0032616,             0.64454,             0.71302,             0.69797,             0.51324,            0.020201,            0.020914,           0.0063654,            0.005446,            0.005446,            0.005446
                  94,            0.019819,            0.025419,           0.0031703,             0.59829,             0.73281,             0.67791,               0.493,            0.020521,            0.021577,           0.0069781,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019822,            0.026051,           0.0027531,             0.62022,             0.72284,             0.67579,             0.48944,            0.020001,            0.021106,           0.0068377,            0.005347,            0.005347,            0.005347
                  96,            0.020416,            0.026475,           0.0029838,             0.60724,             0.75321,             0.68943,             0.50311,            0.020001,            0.020847,           0.0066259,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019711,            0.025825,           0.0031341,             0.66736,             0.69565,             0.70171,             0.51752,            0.020377,            0.020934,           0.0064908,            0.005248,            0.005248,            0.005248
                  98,            0.019563,            0.025956,             0.00328,             0.63694,             0.72295,             0.68585,              0.5057,            0.020214,            0.020871,           0.0068033,           0.0051985,           0.0051985,           0.0051985
                  99,            0.019713,            0.026296,            0.003008,             0.62015,             0.72663,             0.68446,             0.50759,             0.02013,            0.021111,           0.0071686,            0.005149,            0.005149,            0.005149
                 100,            0.019379,             0.02528,           0.0029362,             0.61447,             0.74943,             0.68916,             0.51477,            0.019748,            0.021228,           0.0072851,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020467,            0.026871,           0.0028601,             0.63348,             0.72063,             0.69837,             0.51658,            0.020013,            0.021117,           0.0066084,             0.00505,             0.00505,             0.00505
                 102,            0.019581,            0.026462,           0.0032307,             0.61134,             0.69496,             0.67434,             0.49688,            0.019959,            0.021008,           0.0072648,           0.0050005,           0.0050005,           0.0050005
                 103,             0.01955,            0.026374,           0.0031273,               0.658,             0.68992,             0.68898,             0.50906,            0.019989,            0.020806,           0.0069129,            0.004951,            0.004951,            0.004951
                 104,            0.019703,            0.025913,           0.0026177,             0.61146,             0.76435,             0.69884,             0.51465,            0.019737,            0.020632,           0.0069197,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019727,            0.025374,           0.0028743,             0.62962,             0.70244,             0.68623,             0.49976,             0.02009,            0.021157,           0.0070301,            0.004852,            0.004852,            0.004852
                 106,            0.019312,              0.0251,           0.0029988,             0.64914,             0.68138,             0.68093,             0.50199,            0.020194,            0.020791,           0.0069225,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018909,            0.024858,           0.0028636,             0.66577,             0.68049,             0.69643,             0.50688,            0.020462,            0.021241,           0.0065699,            0.004753,            0.004753,            0.004753
                 108,            0.019383,            0.025857,           0.0029639,             0.62674,             0.74034,             0.69615,              0.5119,            0.019795,            0.020919,           0.0068564,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019725,            0.025967,           0.0025581,             0.61075,             0.74194,             0.67681,             0.49958,             0.01966,            0.021241,           0.0070736,            0.004654,            0.004654,            0.004654
                 110,            0.019122,            0.025151,           0.0030097,             0.62848,              0.7477,             0.69944,             0.51902,            0.019871,            0.020678,           0.0062238,           0.0046045,           0.0046045,           0.0046045
                 111,            0.019236,            0.026049,           0.0026227,             0.63251,              0.7338,             0.70411,              0.5229,             0.02017,            0.021234,           0.0070608,            0.004555,            0.004555,            0.004555
                 112,            0.018883,            0.024353,           0.0027998,             0.62851,             0.73976,             0.70238,              0.5175,            0.019559,             0.02067,            0.006622,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019711,            0.026314,           0.0032313,             0.62827,              0.7365,              0.6945,             0.51868,            0.019798,            0.021511,           0.0075424,            0.004456,            0.004456,            0.004456
                 114,            0.019248,            0.024937,           0.0030342,             0.67345,             0.71584,             0.70726,             0.52365,            0.019924,            0.021098,           0.0064663,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019315,            0.025834,           0.0027839,             0.66463,             0.72293,             0.70448,             0.51529,            0.019693,            0.021119,           0.0069204,            0.004357,            0.004357,            0.004357
                 116,             0.01952,            0.025333,           0.0023518,             0.68002,             0.71196,             0.70728,              0.5273,            0.019592,            0.020995,           0.0063412,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019158,            0.025392,           0.0025974,             0.68458,             0.70228,             0.70446,             0.52388,            0.019769,            0.021143,           0.0063067,            0.004258,            0.004258,            0.004258
                 118,            0.019086,             0.02497,           0.0034512,             0.70269,             0.67018,             0.69887,             0.52145,            0.019671,            0.021078,           0.0066653,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019266,            0.024509,           0.0028948,             0.69812,             0.66777,              0.6955,             0.51606,            0.019651,            0.021216,           0.0069311,            0.004159,            0.004159,            0.004159
                 120,            0.019019,            0.025879,           0.0026802,             0.64999,             0.68863,              0.6742,             0.50479,            0.019679,            0.021153,           0.0068968,           0.0041095,           0.0041095,           0.0041095
                 121,            0.018997,            0.025032,           0.0025384,              0.6073,             0.73227,             0.67992,             0.50838,            0.019884,            0.021406,           0.0072859,             0.00406,             0.00406,             0.00406
                 122,            0.019132,            0.024467,           0.0027037,             0.67854,             0.70139,             0.70314,             0.52205,            0.019642,            0.021327,           0.0064608,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019057,            0.025115,           0.0026329,             0.67186,              0.6853,             0.69005,              0.5099,            0.020458,            0.021401,           0.0070094,            0.003961,            0.003961,            0.003961
                 124,            0.019062,            0.025473,           0.0026003,             0.65778,             0.70449,             0.70286,             0.52416,            0.019821,            0.021278,           0.0070763,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018879,             0.02646,           0.0026445,             0.65702,             0.70898,              0.7056,             0.52708,            0.019997,            0.020915,            0.007041,            0.003862,            0.003862,            0.003862
                 126,            0.018905,            0.024686,           0.0024292,             0.65468,             0.73239,             0.70101,             0.52506,            0.020076,            0.021237,           0.0066761,           0.0038125,           0.0038125,           0.0038125
                 127,            0.018573,            0.025554,           0.0024115,             0.65652,             0.71217,             0.69776,             0.52372,            0.019827,            0.021313,           0.0067497,            0.003763,            0.003763,            0.003763
                 128,            0.018529,            0.024782,           0.0022505,             0.65815,              0.7349,             0.71294,             0.53573,            0.019664,            0.020883,           0.0065193,           0.0037135,           0.0037135,           0.0037135
                 129,            0.018812,            0.024938,           0.0024121,             0.64773,             0.72335,             0.69908,             0.52384,            0.019513,             0.02064,           0.0070426,            0.003664,            0.003664,            0.003664
                 130,             0.01881,            0.026077,           0.0025313,             0.68061,             0.69216,               0.696,             0.51972,            0.019776,            0.021213,           0.0068246,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018931,            0.024567,            0.002429,             0.66091,              0.7142,              0.6969,             0.51779,            0.019798,            0.020977,           0.0069873,            0.003565,            0.003565,            0.003565
                 132,             0.01877,            0.024399,           0.0025043,             0.68079,             0.71969,             0.71393,             0.53207,            0.019728,            0.021167,           0.0069023,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018562,            0.024738,            0.002519,             0.66213,             0.70748,             0.70225,               0.522,            0.019723,            0.021032,           0.0069801,            0.003466,            0.003466,            0.003466
                 134,            0.018729,            0.025448,           0.0022919,             0.66348,             0.73593,             0.70556,             0.52626,            0.019457,            0.020812,           0.0069381,           0.0034165,           0.0034165,           0.0034165
                 135,            0.018594,            0.023968,           0.0021692,             0.64903,             0.72867,             0.70058,             0.52336,            0.019668,            0.021096,           0.0066839,            0.003367,            0.003367,            0.003367
                 136,            0.018992,            0.025092,            0.002279,             0.66116,             0.73947,             0.71377,             0.53422,            0.019678,            0.021374,           0.0063383,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018353,            0.024983,           0.0023787,              0.6704,             0.70822,             0.70474,             0.52429,             0.01978,            0.021034,           0.0067096,            0.003268,            0.003268,            0.003268
                 138,            0.018523,            0.024844,           0.0025594,             0.68142,              0.6981,             0.70431,             0.52473,              0.0197,            0.021447,             0.00671,           0.0032185,           0.0032185,           0.0032185
                 139,            0.018346,            0.024079,           0.0023417,             0.64953,             0.72282,             0.69949,              0.5259,             0.01958,            0.021293,           0.0069773,            0.003169,            0.003169,            0.003169
                 140,             0.01844,            0.024891,           0.0023165,             0.68352,             0.72396,             0.71442,             0.54312,            0.019625,            0.021247,           0.0070173,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018459,             0.02377,           0.0027712,             0.66511,             0.69864,             0.69186,             0.51808,            0.019652,            0.021104,           0.0075556,             0.00307,             0.00307,             0.00307
                 142,             0.01822,            0.025318,           0.0024039,              0.6683,             0.72412,             0.70856,             0.52912,            0.019652,            0.021231,           0.0067841,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018428,            0.024951,           0.0024317,             0.67551,             0.71123,             0.70824,             0.52493,            0.019669,            0.021345,           0.0068112,            0.002971,            0.002971,            0.002971
                 144,            0.018562,            0.025198,           0.0021558,             0.66064,             0.73276,             0.70522,             0.52856,            0.019612,             0.02127,           0.0068393,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018295,            0.024524,            0.002373,              0.6837,             0.70798,             0.71768,             0.53386,            0.019568,            0.021109,           0.0067849,            0.002872,            0.002872,            0.002872
                 146,            0.018207,            0.024254,           0.0020733,             0.66698,             0.71663,             0.70508,             0.52655,            0.019888,            0.021579,           0.0071613,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018195,             0.02433,           0.0025084,             0.67876,             0.70489,             0.70761,             0.53104,            0.019569,            0.021226,           0.0070981,            0.002773,            0.002773,            0.002773
                 148,            0.018558,             0.02478,           0.0022569,             0.68894,             0.70975,              0.7174,             0.53682,            0.019462,            0.021233,           0.0071095,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018609,            0.023857,            0.002616,             0.70113,             0.69612,             0.71692,             0.53312,            0.019682,            0.021262,           0.0068319,            0.002674,            0.002674,            0.002674
                 150,            0.018366,             0.02427,           0.0024328,             0.67215,             0.72033,             0.70754,             0.53321,            0.019782,            0.021167,           0.0070484,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018212,            0.023816,           0.0021407,             0.66893,             0.72291,             0.70195,              0.5312,             0.01968,            0.021381,            0.007153,            0.002575,            0.002575,            0.002575
                 152,             0.01837,            0.024113,           0.0023117,             0.65536,             0.73914,             0.70536,             0.53145,            0.019612,            0.021261,           0.0071361,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018388,            0.025561,           0.0022295,             0.69922,              0.7104,             0.70855,             0.52786,            0.019754,             0.02129,           0.0069852,            0.002476,            0.002476,            0.002476
                 154,            0.017838,            0.023201,           0.0018579,             0.62422,             0.74648,             0.68564,             0.51099,            0.019753,            0.021324,           0.0084385,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018112,            0.024017,           0.0019837,             0.66129,             0.73298,             0.70532,             0.53108,            0.019641,            0.021352,           0.0076878,            0.002377,            0.002377,            0.002377
                 156,            0.018175,            0.025461,           0.0020122,             0.66836,             0.73593,              0.7134,             0.53566,            0.019349,            0.021093,            0.007191,           0.0023275,           0.0023275,           0.0023275
                 157,            0.018175,            0.024681,           0.0022154,             0.65378,             0.72996,             0.70325,             0.52515,             0.01979,            0.021171,           0.0070284,            0.002278,            0.002278,            0.002278
                 158,             0.01798,            0.024266,           0.0020343,             0.66201,             0.73967,             0.72291,             0.54147,            0.019726,            0.021543,           0.0071097,           0.0022285,           0.0022285,           0.0022285
                 159,            0.018183,            0.024916,           0.0019038,             0.67602,             0.71886,             0.70511,             0.52662,            0.019778,            0.021527,           0.0072671,            0.002179,            0.002179,            0.002179
                 160,            0.017783,            0.023588,           0.0022173,             0.66513,             0.72376,             0.70967,             0.53656,            0.019631,            0.021491,           0.0071979,           0.0021295,           0.0021295,           0.0021295
